,org_airport,dest_airport,dist
462,EUG,SLC,618
463,RNO,PHX,601
465,CMH,ATL,447
466,HOU,ATL,696
467,HOU,PHX,1020
468,DTW,DFW,986
470,DFW,DCA,1192
471,MSP,DFW,852
472,SEA,SNA,978
473,BDL,DCA,313
476,MOB,ATL,302
477,SAN,SLC,626
478,LAS,SLC,368
479,DCA,DTW,405
480,SMF,SLC,532
481,DEN,DTW,1123
483,LGA,MSP,1020
484,LAW,DFW,140
485,BRO,DFW,482
486,PIB,MEI,69
487,CHS,IAH,925
488,MEM,IAH,468
489,MGM,ATL,147
490,SLC,DEN,391
491,OMA,DEN,472
492,FAR,DFW,968
493,DCA,JFK,213
494,MSN,DFW,821
495,CMH,LGA,479
496,SBP,LAX,156
497,COS,IAH,809
498,OAK,SLC,588
499,LAR,DEN,113
500,SAN,LAX,109
501,BFL,SFO,238
502,DRO,PHX,351
503,MRY,PHX,598
504,FAT,PHX,493
505,MSP,ORD,334
506,DFW,ORD,802
507,BIS,DEN,516
508,ITO,HNL,216
509,PBI,LGA,1035
510,SAT,ORD,1041
511,FLL,IAH,965
512,BUF,CLT,546
513,SEA,ORD,1721
514,CMH,FLL,973
515,LAS,HOU,1235
516,PVD,MCO,1072
517,SAN,BWI,2295
518,SAN,MDW,1728
520,SAN,DEN,853
521,SAN,EWR,2425
522,SJC,PHX,621
523,SJC,DFW,1438
524,DFW,BOS,1562
525,SAN,DFW,1171
527,ONT,SEA,956
528,RDU,MIA,700
529,ROC,ATL,749
530,MCO,ATL,404
531,DCA,MSP,931
532,CAE,IAH,878
533,BTR,ATL,448
534,IAD,MSP,908
535,SAV,DFW,925
536,GRI,DFW,561
537,PDX,SAN,933
538,DFW,MSP,852
539,PSP,SLC,541
540,ISN,MSP,546
541,HLN,DEN,594
542,MCO,IAH,854
543,BOS,RIC,474
544,BZN,DEN,524
545,FAT,SLC,501
546,FSD,DEN,483
547,IAH,ORD,925
548,EWR,IAH,1400
549,PIT,DTW,201
550,FLL,CLT,631
551,MIA,EWR,1085
553,MDW,PHX,1444
554,LAX,PHL,2402
555,IAD,DFW,1172
556,LAX,AUS,1242
557,CLT,DFW,936
558,PHL,DFW,1303
559,DFW,CLT,936
560,ATL,DFW,731
561,RDU,DFW,1061
564,FLL,BOS,1237
565,RSW,BOS,1249
566,MIA,ATL,594
567,BWI,MSP,936
568,MDT,ATL,620
569,EWR,BOS,200
570,SCE,DTW,301
572,LEX,DFW,785
573,VPS,DFW,641
574,BWI,ORD,622
575,SBA,PHX,455
576,SBP,PHX,509
577,PNS,IAH,489
578,COS,DEN,73
579,CLE,ORD,315
580,LIH,HNL,102
581,TWF,SLC,175
582,SAN,ATL,1892
583,BDL,ORD,783
584,LAX,PHX,370
585,EWR,PHX,2133
586,PHL,CLT,449
587,AUS,IAH,140
589,RNO,SFO,192
590,SEA,MDW,1733
591,SJU,TPA,1237
592,HNL,LAX,2556
593,CLT,PHL,449
594,JFK,PHX,2153
595,SAN,PHX,304
596,ONT,PHX,325
597,MIA,CLT,650
598,PBI,ORD,1144
599,EWR,DFW,1372
600,ANC,OTZ,548
601,SAN,SEA,1050
602,SAN,PDX,933
603,JFK,LAX,2475
604,LGA,MCO,950
605,JFK,RSW,1074
606,BOS,PIT,496
607,SFO,JFK,2586
608,MSP,ATL,907
609,AUS,ATL,813
610,COS,ATL,1184
611,DTW,ATL,594
612,MSY,LGA,1183
613,SEA,ATL,2182
614,EWR,ATL,746
615,TPA,ATL,406
616,BPT,DFW,270
617,RIC,IAD,100
618,EWR,JAX,820
619,GPT,IAH,376
620,TPA,DEN,1506
621,RSW,DEN,1607
623,CLE,MCO,895
624,GPT,DFW,500
625,MGM,DFW,622
627,ACY,MYR,466
628,STC,ORD,394
630,SFO,SAN,447
631,MSP,LAX,1535
632,BFL,PHX,425
633,TPA,ORD,1012
634,ORD,IAD,589
636,JFK,MSY,1182
637,MKE,ORD,67
638,MIA,ORD,1197
639,SEA,PHL,2378
640,SAT,ATL,874
641,PDX,MDW,1751
642,LAS,PHX,255
643,JAX,DFW,918
644,MSY,DFW,447
645,PIT,DFW,1067
646,COS,DFW,592
647,SEA,SAN,1050
649,SEA,SLC,689
651,HPN,PBI,1056
652,JFK,LAS,2248
653,MLB,ATL,442
654,PIT,ATL,526
655,SAN,MSP,1532
656,ABE,ATL,692
657,SPI,DFW,630
658,PLN,DTW,243
659,PDX,ONT,838
660,RSW,EWR,1068
661,SJC,MSP,1576
662,CIU,DTW,284
663,MCO,CLT,468
664,BWI,CLT,361
667,CAK,MCO,861
668,FLL,LAS,2173
669,MKE,LAS,1524
670,PHX,MDW,1444
671,SJC,LAS,386
672,LAS,EWR,2227
673,ORD,EWR,719
674,DSM,DFW,624
675,IAH,DFW,224
676,RIC,DFW,1158
677,BLI,SEA,93
678,PDX,LAX,834
679,SEA,PSP,987
680,LAX,PDX,834
682,SLC,SJC,584
683,BDL,MIA,1194
684,RSW,ATL,515
685,TPA,LGA,1010
688,CRP,DFW,354
689,SHV,DFW,190
690,BTR,DFW,383
691,MLU,DFW,293
692,PIA,DFW,672
693,ROW,DFW,435
694,FWA,DFW,859
695,CHS,MIA,489
696,GSO,MIA,710
699,DTW,FLL,1127
700,PDX,BUR,817
701,MSN,ORD,108
702,COS,LAX,833
703,GCC,DEN,313
705,SNA,IAH,1346
706,BUF,ORD,473
708,DAL,MDW,793
709,LIT,DAL,296
710,MHT,MCO,1142
711,ALB,MCO,1073
712,SAT,BWI,1407
714,SNA,PHX,338
715,DFW,STL,550
717,LAS,ORD,1514
718,BNA,MIA,806
719,MSP,MIA,1501
720,SNA,DFW,1205
721,MIA,DCA,919
722,JFK,BOS,187
724,OMA,ATL,821
725,PIT,MSP,726
726,SNA,ATL,1919
727,FLL,ATL,581
728,SNA,MSP,1522
729,ATL,LGA,762
730,BHM,ATL,134
732,FLL,DFW,1119
733,SAN,JFK,2446
734,BHM,DFW,597
735,HOB,IAH,501
736,LNK,DEN,423
737,DEN,MSP,680
738,LAS,DEN,628
739,SNA,DEN,846
741,CMI,DFW,693
742,COU,DFW,489
743,BWI,FLL,925
745,GTF,DEN,624
746,BNA,CVG,230
747,SNA,SFO,372
748,PHX,LAX,370
749,ATL,IAH,689
750,EKO,SLC,200
751,IAD,JFK,228
755,PHX,SFO,651
756,PIT,CLT,366
757,MSP,CLT,930
758,BWI,MCO,787
759,MSY,ATL,425
760,PHX,DAL,879
761,FLL,ORD,1182
762,PHL,PHX,2075
764,MEM,DFW,432
767,DFW,TPA,929
768,CLE,DFW,1021
770,SJC,SEA,697
771,PDX,SNA,859
772,LAS,PDX,763
773,SEA,SMF,605
774,LGB,OAK,353
776,AVL,ATL,164
777,HSV,ATL,151
778,BNA,ORD,409
779,SAF,DFW,551
780,GRR,DFW,931
781,XNA,ORD,522
782,SUX,ORD,436
783,LFT,DFW,351
784,ORD,TPA,1012
785,PSP,IAH,1269
786,HYS,DEN,298
790,DTW,LAS,1749
792,SAN,IAH,1303
793,DFW,IAH,224
794,RIC,CLT,257
795,TPA,CLT,507
797,CAK,ATL,528
799,ABQ,DAL,580
800,PVD,FLL,1188
801,PHL,FLL,992
802,PHL,LAS,2176
803,MIA,DEN,1709
805,LAX,BOS,2611
807,BWI,DFW,1217
808,DFW,LAX,1235
810,MKE,MSP,297
812,MCO,DCA,759
813,JFK,BUF,301
814,MSP,LAS,1299
815,ATL,MCO,404
816,MFE,IAH,316
817,TTN,RDU,373
818,ELP,ORD,1236
819,HSV,ORD,510
820,ABQ,ORD,1118
821,RDU,SFO,2400
822,EWR,LAX,2454
823,DCA,CLT,331
829,PSP,PHX,261
830,DVL,JMS,83
831,ALB,ORD,723
832,PDX,SFO,550
833,EWR,TPA,997
834,JAX,CLT,328
835,CLE,CLT,430
836,CLT,MIA,650
837,IAH,CLT,912
838,IND,CLT,427
840,LGA,ORD,733
841,BOS,IAH,1597
848,BUF,FLL,1165
849,BWI,HOU,1246
850,BWI,LAS,2106
851,CLE,PHX,1737
852,DCA,DAL,1184
853,ISP,FLL,1092
854,MDW,DAL,793
855,MDW,TPA,997
856,MSP,MDW,349
857,PIT,MCO,834
858,SAT,BNA,822
859,HOU,MCO,849
860,MCO,SFO,2446
861,EWR,DEN,1605
863,ATL,CLT,226
864,SLC,PHX,507
865,BOI,PHX,735
866,DCA,PHX,1979
868,ATL,MIA,594
870,SFO,MIA,2585
872,MIA,LAS,2174
873,DFW,BNA,631
875,FAT,DFW,1313
878,MIA,IAH,964
881,MIA,BOS,1258
885,TUS,DFW,813
888,EWR,SEA,2402
889,MSP,SEA,1399
892,SFO,SEA,679
893,SJC,PDX,569
894,PDX,SEA,129
897,SNA,SEA,978
898,BUR,SEA,937
899,LAS,SEA,867
900,PHX,PDX,1009
902,PDX,HNL,2603
903,SAN,OGG,2541
904,OAK,LIH,2457
907,BOS,SAN,2588
908,DCA,MCO,759
909,BOS,JAX,1010
910,PDX,LGB,846
911,BOS,HOU,1609
912,BOS,AUS,1698
915,PDX,JFK,2454
917,SEA,DTW,1927
918,SFO,DTW,2079
919,DCA,ATL,547
920,ORF,ATL,516
921,DAB,ATL,366
922,PBI,ATL,545
923,SLC,MSP,991
925,DAY,DFW,861
926,MSP,PHX,1276
927,LGA,PBI,1035
928,RSW,LGA,1080
930,CLE,ATL,554
933,MKE,ATL,669
934,RDU,BOS,612
937,LAX,DTW,1979
938,LAS,JFK,2248
940,MSP,RSW,1416
943,LFT,IAH,201
944,SHV,ATL,551
945,ROC,LGA,254
946,CID,MSP,220
947,PVD,ORD,849
949,CLE,RSW,1025
